Country,JSON,RAW_LINKS,SUBLINKS
Belgium,"{'country': 'Belgium', 'noOfResults': 8, 'articles': [{'url': 'https://www.miragenews.com/us-eu-9th-cyber-dialogue-takes-place-in-brussels-1140353/', 'source': 'www.miragenews.com'}, {'url': 'https://safeonweb.be/en/news/centre-cybersecurity-belgium-launching-new-initiative-businesses-and-organisations-belgium', 'source': 'safeonweb.be'}, {'url': 'https://www.law.kuleuven.be/citip/en/news/item/are-you-ready-for-some-cyfun-2013-new-information-round', 'source': 'www.law.kuleuven.be'}, {'url': 'https://www.capgemini.com/be-en/insights/expert-perspectives/cybersecurity-requires-a-mindset-that-goes-beyond-just-it/', 'source': 'www.capgemini.com'}, {'url': 'https://www.agoria.be/en/services/expertise/digitalisation/cybersecurity/a-cybersecurity-plan-for-all-public-and-private-entities-by-2030', 'source': 'www.agoria.be'}, {'url': 'https://www.telos.com/blog/2023/12/4/cybersecurity-news-in-review/', 'source': 'www.telos.com'}, {'url': 'https://www.usnews.com/news/technology/articles/2023-11-23/eu-mulls-wider-scope-for-cybersecurity-certification-scheme-paper', 'source': 'www.usnews.com'}, {'url': 'https://www.bdo.be/en-gb/services/advisory/cyber-security', 'source': 'www.bdo.be'}]}"
Finland,"{'country': 'Finland', 'noOfResults': 6, 'articles': [{'url': 'https://www.kyberturvallisuuskeskus.fi/en/news/national-cyber-security-centre-finlands-weekly-review-482023', 'source': 'www.kyberturvallisuuskeskus.fi'}, {'url': 'https://www.kyberturvallisuuskeskus.fi/en/news/national-cyber-security-centre-finlands-weekly-review-462023', 'source': 'www.kyberturvallisuuskeskus.fi'}, {'url': 'https://www.trade.gov/country-commercial-guides/finland-information-and-communication-technologies', 'source': 'www.trade.gov'}, {'url': 'https://www.ey.com/en_fi/cybersecurity/how-can-cybersecurity-sow-the-seeds-for-competitive-business-growth', 'source': 'www.ey.com'}, {'url': 'https://www.telos.com/blog/2023/12/4/cybersecurity-news-in-review/', 'source': 'www.telos.com'}, {'url': 'https://www.bloomberg.com/news/articles/2023-11-16/finland-to-close-russian-border-crossings-citing-security-threat', 'source': 'www.bloomberg.com'}]}"
Greece,"{'country': 'Greece', 'noOfResults': 7, 'articles': [{'url': 'https://www.bloomberg.com/news/articles/2023-12-01/greece-aims-to-be-an-energy-security-provider-premier-says', 'source': 'www.bloomberg.com'}, {'url': 'https://www.era.europa.eu/content/3rd-era-enisa-conference-cybersecurity-railways', 'source': 'www.era.europa.eu'}, {'url': 'https://www.telos.com/blog/2023/12/4/cybersecurity-news-in-review/', 'source': 'www.telos.com'}, {'url': 'https://www.acg.edu/events/network-me-up-cybersecurity-day-powered-by-hack-the-box-obrela/', 'source': 'www.acg.edu'}, {'url': 'https://www.prnewswire.com/news-releases/opentext-cybersecurity-2023-global-ransomware-survey-companies-still-dont-believe-they-are-targets-for-ransomware-attacks-301989225.html', 'source': 'www.prnewswire.com'}, {'url': 'https://www.euronews.com/2023/11/09/the-enemy-is-false-information-world-leaders-and-businesses-take-on-cybersecurity-in-riyad', 'source': 'www.euronews.com'}, {'url': 'https://www.fintechfutures.com/us/category/cybersecurity/', 'source': 'www.fintechfutures.com'}]}"
Iceland,"{'country': 'Iceland', 'noOfResults': 8, 'articles': [{'url': 'https://www.telos.com/blog/2023/12/4/cybersecurity-news-in-review/', 'source': 'www.telos.com'}, {'url': 'https://www.prnewswire.com/news-releases/gen-reveals-cybersecurity-predictions-for-2024-302008575.html', 'source': 'www.prnewswire.com'}, {'url': 'https://www.medicaldevice-network.com/analyst-comment/medical-devices-future-cybersecurity-measures/', 'source': 'www.medicaldevice-network.com'}, {'url': 'https://www.yubico.com/blog/australian-government-leading-on-cybersecurity-efforts-toward-phishing-resistance-for-all-citizens-and-businesses/', 'source': 'www.yubico.com'}, {'url': 'https://www.nasdaq.com/articles/cisco-systems-csco-enhances-cyber-security-with-ai-assistant', 'source': 'www.nasdaq.com'}, {'url': 'https://www.cm-alliance.com/cybersecurity-blog', 'source': 'www.cm-alliance.com'}, {'url': 'https://www.rnz.co.nz/news/world/502203/major-australian-port-operator-shuts-down-amid-cyber-security-incident', 'source': 'www.rnz.co.nz'}, {'url': 'https://www.prnewswire.com/news-releases/five-cybersecurity-trends-to-expect-in-2024-301999168.html', 'source': 'www.prnewswire.com'}]}"
Italy,"{'country': 'Italy', 'noOfResults': 8, 'articles': [{'url': 'https://www.whiteblueocean.com/newsroom/italy-on-fire-the-italian-cybersecurity-problem/', 'source': 'www.whiteblueocean.com'}, {'url': 'https://www.bloomberg.com/news/articles/2023-11-22/meloni-says-italy-vetoed-takeover-by-safran-over-security-risks', 'source': 'www.bloomberg.com'}, {'url': 'https://www.ncsc.gov.uk/news/uk-develops-new-global-guidelines-ai-security', 'source': 'www.ncsc.gov.uk'}, {'url': 'https://www.cshub.com/attacks/articles/biggest-cyber-security-attacks-october', 'source': 'www.cshub.com'}, {'url': 'https://www.commercialriskonline.com/italian-supervisor-focuses-on-cyber-awareness-among-smes-and-individuals/', 'source': 'www.commercialriskonline.com'}, {'url': 'https://www.itgovernance.co.uk/blog/list-of-data-breaches-and-cyber-attacks-in-2023', 'source': 'www.itgovernance.co.uk'}, {'url': 'https://www.mondaq.com/italy/security/1387340/nis2-directive-for-the-strengthening-of-eu-cybersecurity-approved', 'source': 'www.mondaq.com'}, {'url': 'https://www.darkreading.com/application-security', 'source': 'www.darkreading.com'}]}"
Portugal,"{'country': 'Portugal', 'noOfResults': 6, 'articles': [{'url': 'https://www.linkedin.com/pulse/cyber-news-35-meet-cyberx-cloud-expo-2023-cyberx-portugal-wgrdf?trk=public_post_main-feed-card_feed-article-content', 'source': 'www.linkedin.com'}, {'url': 'https://www.telos.com/blog/2023/12/4/cybersecurity-news-in-review/', 'source': 'www.telos.com'}, {'url': 'https://www.euronews.com/2023/11/09/the-enemy-is-false-information-world-leaders-and-businesses-take-on-cybersecurity-in-riyad', 'source': 'www.euronews.com'}, {'url': 'https://www.armisgroup.com/news/microsoft-security-day/', 'source': 'www.armisgroup.com'}, {'url': 'https://www.medicaldevice-network.com/analyst-comment/medical-devices-future-cybersecurity-measures/', 'source': 'www.medicaldevice-network.com'}, {'url': 'https://www.cm-alliance.com/cybersecurity-blog', 'source': 'www.cm-alliance.com'}]}"
Denmark,"{'country': 'Denmark', 'noOfResults': 8, 'articles': [{'url': 'https://www.cpomagazine.com/cyber-security/denmark-weathered-wave-of-cyber-attacks-on-energy-infrastructure-in-may-industry-non-profit-reveals/', 'source': 'www.cpomagazine.com'}, {'url': 'https://www.darkreading.com/ics-ot-security/danish-energy-attacks-portend-targeting-more-critical-infrastructure', 'source': 'www.darkreading.com'}, {'url': 'https://www.hstoday.us/subject-matter-areas/cybersecurity/danish-critical-infrastructure-hit-by-the-largest-cyber-attack-in-denmarks-history/', 'source': 'www.hstoday.us'}, {'url': 'https://medium.com/@zakpatrikcz/denmarks-infrastructure-faces-biggest-cyber-attack-in-history-20b5ba68121c', 'source': 'medium.com'}, {'url': 'https://www.blackhatethicalhacking.com/news/russian-cyber-onslaught-unraveling-the-largest-ever-attack-on-denmarks-critical-infrastructure/', 'source': 'www.blackhatethicalhacking.com'}, {'url': 'https://www.bloomberg.com/news/articles/2023-12-07/denmark-approves-law-to-ban-koran-burnings-amid-security-concern', 'source': 'www.bloomberg.com'}, {'url': 'https://www.cybersecuritytribe.com/news/cve-2023-28771-exploit-results-in-largest-cyber-attack-against-danish-critical-infrastructure', 'source': 'www.cybersecuritytribe.com'}, {'url': 'https://www.linkedin.com/pulse/cyber-security-update-third-wave-innovations-vfs7c', 'source': 'www.linkedin.com'}]}"
Sweden,"{'country': 'Sweden', 'noOfResults': 6, 'articles': [{'url': 'https://www.dataguidance.com/news/sweden-imy-fines-indecap-sek-500000-data-security', 'source': 'www.dataguidance.com'}, {'url': 'https://www.cnbctv18.com/technology/exclusive--nationwide-alert-sounded-as-hacker-group-plans-cyber-party-to-attack-indias-critical-digital-infra-18520021.htm', 'source': 'www.cnbctv18.com'}, {'url': 'https://www.telos.com/blog/2023/12/4/cybersecurity-news-in-review/', 'source': 'www.telos.com'}, {'url': 'https://www.government.se/government-policy/digital-policy/', 'source': 'www.government.se'}, {'url': 'https://spanish-presidency.consilium.europa.eu/en/news/coreper-common-position-cybersecurity-law/', 'source': 'spanish-presidency.consilium.europa.eu'}, {'url': 'https://www.iospress.com/catalog/journals/journal-of-computer-security', 'source': 'www.iospress.com'}]}"
Austria,"{'country': 'Austria', 'noOfResults': 10, 'articles': [{'url': 'https://cybersecurity-centre.europa.eu/news/austrian-ict-security-portal-2023-11-09_en', 'source': 'cybersecurity-centre.europa.eu'}, {'url': 'https://uktechnews.co.uk/2023/11/21/veracity-trust-network-among-17-uk-companies-picked-to-present-at-austrian-cyber-security-forum-2/', 'source': 'uktechnews.co.uk'}, {'url': 'https://www.euronews.com/2023/11/09/the-enemy-is-false-information-world-leaders-and-businesses-take-on-cybersecurity-in-riyad', 'source': 'www.euronews.com'}, {'url': 'https://www.telos.com/blog/2023/12/4/cybersecurity-news-in-review/', 'source': 'www.telos.com'}, {'url': 'https://www.darkreading.com/cybersecurity-operations/the-7-deadly-sins-of-security-awareness-training', 'source': 'www.darkreading.com'}, {'url': 'https://www.ptsecurity.com/ww-en/analytics/cybersecurity-threatscape-2023-q3/', 'source': 'www.ptsecurity.com'}, {'url': 'https://www.iospress.com/catalog/journals/journal-of-computer-security', 'source': 'www.iospress.com'}, {'url': 'https://www.medicaldevice-network.com/analyst-comment/medical-devices-future-cybersecurity-measures/', 'source': 'www.medicaldevice-network.com'}, {'url': 'https://www.prnewswire.com/news-releases/keeper-security-provides-cybersecurity-warning-for-retailers-this-holiday-shopping-season-301987819.html', 'source': 'www.prnewswire.com'}, {'url': 'https://www.capgemini.com/be-en/insights/expert-perspectives/cybersecurity-requires-a-mindset-that-goes-beyond-just-it/', 'source': 'www.capgemini.com'}]}"
Ireland,"{'country': 'Ireland', 'noOfResults': 13, 'articles': [{'url': 'https://www.imperva.com/blog/2024-predictions-for-cybersecurity/', 'source': 'www.imperva.com'}, {'url': 'https://www.irishtimes.com/business/2023/11/09/two-thirds-of-irish-businesses-plan-to-hike-cyber-security-investment/', 'source': 'www.irishtimes.com'}, {'url': 'https://www.grantthornton.ie/news-centre/cyber-security-remains-a-priority-for-irish-businesses-with-almost-half-likely-to-increase-investment-in-risk-mitigation/', 'source': 'www.grantthornton.ie'}, {'url': 'https://irishtechnews.ie/microsoft-ireland-study-reveals-almost-half-of-irish-business-experience-cyber-attacks-in-the-last-three-years/', 'source': 'irishtechnews.ie'}, {'url': 'https://timmins.ie/2023/12/07/around-half-of-companies-experienced-a-cyber-incident-survey/', 'source': 'timmins.ie'}, {'url': 'https://www.trendmicro.com/en_ie/research/23/l/2023-review-reflecting-on-cybersecurity-trends.html', 'source': 'www.trendmicro.com'}, {'url': 'https://www.siliconrepublic.com/enterprise/cybersecurity-jobs-skills-diversity-virginia-lee-tcs-ireland', 'source': 'www.siliconrepublic.com'}, {'url': 'https://cyware.com/cyber-dcr/daily-cybersecurity-roundup-december-08-2023-672c', 'source': 'cyware.com'}, {'url': 'https://www.rte.ie/news/business/2023/1207/1420608-half-of-companies-experienced-a-cyber-incident-survey/', 'source': 'www.rte.ie'}, {'url': 'https://www.mccannfitzgerald.com/knowledge/data-privacy-and-cyber-risk/cybersecurity-laws-and-regulations-ireland-2024', 'source': 'www.mccannfitzgerald.com'}, {'url': 'https://www.ncsc.gov.uk/news/uk-schoolgirls-secure-victory-of-ncsc-cyber-skills-contest', 'source': 'www.ncsc.gov.uk'}, {'url': 'https://www.centripetal.ai/blog/cybersecurity-awareness-month-ireland/', 'source': 'www.centripetal.ai'}, {'url': 'https://irishadvantage.com/vaultree-cybersecurity-visionary-recognized-as-2023-world-economic-forum-technology-pioneer/', 'source': 'irishadvantage.com'}]}"
